Agent,Unique Code,Username,Product,Amount,Date,Time
M24SG,USRM260996,Phung,0,50,1/1/2025,11:49:56 PM
M24SG,USRB069508,Dehliez,0,30,1/1/2025,11:37:04 PM
M24SG,USRV226043,Aziq,0,40,1/1/2025,11:16:07 PM
M24SG,USRT296123,Rhazel,0,50,1/1/2025,11:08:19 PM
M24SG,USRI084566,Midah37,0,50,1/1/2025,10:56:04 PM
M24SG,USRB069508,Dehliez,0,30,1/1/2025,10:54:16 PM
M24SG,USRX383187,Jaiveen22,0,30,1/1/2025,10:51:18 PM
M24SG,USRL001909,Filzalita,0,40,1/1/2025,10:44:10 PM
M24SG,USRS248485,SunDram,0,150,1/1/2025,10:34:32 PM
M24SG,USRA069456,Idah13,0,35,1/1/2025,10:34:07 PM
M24SG,USRB069508,Dehliez,0,40,1/1/2025,10:30:14 PM
M24SG,USRP069533,Zairiah,0,20,1/1/2025,10:27:49 PM
M24SG,USRA069456,Idah13,0,35,1/1/2025,10:27:05 PM
M24SG,USRJ126434,Hilmi77,0,100,1/1/2025,10:24:01 PM
M24SG,USRJ126434,Hilmi77,0,100,1/1/2025,10:16:24 PM
M24SG,USRA069456,Idah13,0,35,1/1/2025,10:15:05 PM
M24SG,USRM371637,litha35,0,50,1/1/2025,10:14:02 PM
M24SG,USRF370301,Zulfaqar,0,30,1/1/2025,10:09:21 PM
M24SG,USRT000653,WongCK,0,100,1/1/2025,10:00:34 PM
M24SG,USRG227301,Hanhan41,0,30,1/1/2025,9:54:37 PM
M24SG,USRT274326,Haryati,0,30,1/1/2025,9:29:24 PM
M24SG,USRJ126434,Hilmi77,0,60,1/1/2025,9:25:31 PM
M24SG,USRA069456,Idah13,0,36,1/1/2025,9:21:53 PM
M24SG,USRL327542,Jervois82,0,300,1/1/2025,9:15:04 PM
M24SG,USRM371637,litha35,0,58,1/1/2025,9:13:01 PM
M24SG,USRN350621,Nazwan1991,0,54,1/1/2025,9:10:28 PM
M24SG,USRL327542,Jervois82,0,300,1/1/2025,8:59:48 PM
M24SG,USRV000804,SyedOmarQayyum,0,100,1/1/2025,8:42:41 PM
M24SG,USRN259082,Ibrahim62,0,200,1/1/2025,8:34:42 PM
M24SG,USRN259082,Ibrahim62,0,100,1/1/2025,8:24:51 PM
M24SG,USRQ132895,Sobahan,0,150,1/1/2025,8:11:28 PM
M24SG,USRV305223,Hafiz26,0,50,1/1/2025,8:05:23 PM
M24SG,USRR324348,Fauzi00,0,200,1/1/2025,8:01:43 PM
M24SG,USRD085091,John85,0,66,1/1/2025,7:55:53 PM
M24SG,USRU383748,Wenwen88,0,100,1/1/2025,7:55:03 PM
